Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_High income: OECD,IncomeGroup_High income: nonOECD,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
2018,,,,364000000000.0,64581.9,88.1656,2.3,,7953.0,3.768,True,False,False,False,False,False,False,False,True,False,False,False
2018,,,,54235500000.0,26234.0,79.75,1.7,,102.64,5.51,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,4721000000.0,314.562,,76.6,,23.9235,13.956,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,368000000000.0,6374.02,,28.5,,47.6301,26.958,False,False,False,False,False,False,True,False,False,False,False,True
2018,,,,,,,63.7,,,12.696,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,1430000000000.0,30523.9,86.1072,2.5,,93.5291,15.487,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,88900800000.0,4102.48,,6.4,,345.559,4.399,False,False,False,False,False,True,False,False,False,False,True,False
2018,,,0.0,40851500000.0,977.274,,42.1,,,12.876,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,551000000000.0,54112.0,92.1417,2.2,,25.001,6.444,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,706000000000.0,82838.9,,3.7,,215.521,4.883,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,7522950000.0,826.622,,30.4,,65.5727,10.922,False,True,False,False,False,False,False,False,False,False,True,False
2018,,,,57437100000.0,1050.68,,37.6,,63.5791,1.932,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,505000000000.0,7273.56,56.8175,7.8,,135.897,0.665,True,False,False,False,False,False,False,False,False,False,False,True
2018,,,,5300210000.0,671.841,,47.4,,145.047,1.668,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,39860700000.0,3446.61,64.1908,14.6,,74.4413,15.478,False,False,False,True,False,False,False,False,False,False,False,True
2018,,,,767000000000.0,9311.37,71.0428,9.1,,106.96,10.895,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,40761100000.0,6966.64,,39.3,,12.4506,3.783,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,27476900000.0,643.14,,33.8,,213.062,1.742,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,131000000000.0,3095.17,,7.5,,77.0297,9.381,False,True,False,False,False,False,False,False,False,False,True,False
2018,,,,414000000000.0,43004.9,98.45,6.5,,135.609,2.575,False,False,False,True,False,False,False,False,True,False,False,False
2018,,,,2830000000000.0,42491.4,94.8967,3.6,,274.827,3.954,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,20500000000000.0,62641.0,,5.6,,35.7661,3.933,False,False,False,False,True,False,False,True,False,False,False,False
2018,,,,59596900000.0,17278.0,,6.4,,19.708,7.961,False,False,True,False,False,False,False,False,True,False,False,False
2018,,,,50499900000.0,1532.37,,19.1,,77.4692,5.223,False,True,False,False,False,False,False,False,False,False,True,False
2018,,,,245000000000.0,2563.82,70.3496,16.5,,308.125,1.891,True,False,False,False,False,False,False,False,False,False,True,False
2018,,,,26720100000.0,1539.9,14.3,40.4,,23.3415,7.209,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,31000500000.0,2147.0,,33.9,,37.3246,4.915,False,False,False,False,False,False,True,False,False,True,False,False
